min,median,mean,max,stddev,config,bench
sksl_compiler_baseline: 15264 bytes
sksl_compiler_gpu: 411696 bytes
sksl_compiler_graphite: 1177152 bytes
sksl_compiler_compute: 20320 bytes
sksl_binary_size_gpu: 22605 bytes
sksl_binary_size_graphite: 29961 bytes
sksl_binary_size_compute: 507 bytes
0.506596,0.5081,0.508218,0.510967,0.257761,grmtl,poly_utils_circle_o
0.236087,0.238523,0.238256,0.240248,0.596554,grmtl,poly_utils_circle_i
0.0108724,0.0109626,0.0113536,0.014842,10.8101,grmtl,poly_utils_circle_s
0.0108702,0.0111353,0.0111998,0.0119279,2.86262,grmtl,poly_utils_circle_c
193.122,193.375,200.996,257.469,9.9862,grmtl,poly_utils_star_t
312.041,328.983,70116.1,698076,314.682,grmtl,poly_utils_star_o
ERROR: clamping loops from 0 to 1. There's probably something wrong with the bench.
0.0365419,0.336708,0.541896,2.27313,130.566,grmtl,poly_utils_star_i
192.443,193.04,193.933,198.515,1.12756,grmtl,poly_utils_star_s
2.66917e-05,2.68353e-05,2.68599e-05,2.73323e-05,0.680678,grmtl,poly_utils_star_c
120.754,121.112,121.149,121.537,0.210277,grmtl,tiled_playback_rtree_tiled
137.594,137.817,137.791,138.008,0.0936652,grmtl,tiled_playback_rtree_random
374.268,375.585,375.414,375.805,0.115443,grmtl,tiled_playback_none_tiled
388.291,390.505,390.465,393.378,0.356083,grmtl,tiled_playback_none_random
161.831,162.447,162.376,162.634,0.146929,grmtl,picture_nesting_playback_3280
149.099,149.804,149.723,150.101,0.170274,grmtl,picture_nesting_playback_1093
144.774,145.542,145.436,145.72,0.190237,grmtl,picture_nesting_playback_364
143.791,144.304,144.319,145.628,0.36401,grmtl,picture_nesting_playback_121
143.381,143.598,143.651,144.034,0.156486,grmtl,picture_nesting_playback_40
143.025,143.309,143.309,143.762,0.133503,grmtl,picture_nesting_playback_13
143.122,143.293,143.528,145.26,0.438473,grmtl,picture_nesting_playback_4
142.94,143.348,143.3,143.498,0.105587,grmtl,picture_nesting_playback_1
143.071,143.275,143.269,143.445,0.0733868,grmtl,picture_nesting_playback_0
0.166598,0.177029,0.178,0.184273,2.91513,grmtl,perlinnoise
89.4992,89.8624,89.8266,90.1866,0.217355,grmtl,path_text_clipped_uncached
78.4824,78.6386,78.6248,78.7528,0.105539,grmtl,path_text_uncached
78.418,78.643,78.6111,78.8178,0.143792,grmtl,path_text
1.43045,1.44063,1.43993,1.44897,0.478674,grmtl,convex_path_200_16_1_1
1.42623,1.43744,1.43714,1.45519,0.652949,grmtl,convex_path_200_16_0_1
1.51611,1.52752,1.52627,1.53659,0.473032,grmtl,convex_path_200_16_1_0
1.51349,1.52395,1.52315,1.54146,0.561965,grmtl,convex_path_200_16_0_0
1.41946,1.43094,1.43002,1.43835,0.412833,grmtl,convex_path_16_16_1_1
1.4219,1.43342,1.43211,1.44074,0.425324,grmtl,convex_path_16_16_0_1
1.50077,1.51077,1.51134,1.52328,0.485317,grmtl,convex_path_16_16_1_0
1.50529,1.51997,1.51724,1.53218,0.622328,grmtl,convex_path_16_16_0_0
0.0178856,0.0180588,0.018082,0.01843,0.908603,grmtl,zeroradroundrect
0.029047,0.0293685,0.0293533,0.0296788,0.623381,grmtl,arbroundrect
0.0229262,0.0231691,0.0231896,0.0233898,0.606365,grmtl,circles_stroke
0.0285239,0.0290788,0.0290815,0.0298338,1.17829,grmtl,circles_fill
0.0749608,0.0761325,0.076021,0.0774117,1.19999,grmtl,path_stroke_small_long_line
0.0782809,0.0800229,0.0795323,0.0804442,1.01634,grmtl,path_fill_small_long_line
0.118187,0.118935,0.119131,0.121497,0.810716,grmtl,path_stroke_small_long_curved
0.165539,0.168114,0.168048,0.170846,1.09483,grmtl,path_fill_small_long_curved
0.0534925,0.0543701,0.0542227,0.0552527,1.01338,grmtl,path_stroke_small_sawtooth
0.0721773,0.0731695,0.0731016,0.0747097,1.07042,grmtl,path_fill_small_sawtooth
0.0156294,0.015779,0.015763,0.0159098,0.690377,grmtl,path_fill_big_convex_aaa
0.0147366,0.0149574,0.0149783,0.0153074,1.09764,grmtl,path_fill_small_convex_aaa
0.0427579,0.04359,0.0434418,0.0441647,1.14467,grmtl,path_fill_big_concave_aaa
0.0424745,0.0428125,0.0428671,0.0433985,0.733532,grmtl,path_fill_small_concave_aaa
0.0158851,0.0160273,0.0160043,0.0161091,0.565384,grmtl,path_fill_big_nonaacircle
0.0151404,0.0152426,0.0152702,0.0154977,0.786807,grmtl,path_fill_small_nonaacircle
0.0149091,0.0150344,0.0150585,0.0152954,0.693287,grmtl,path_stroke_big_circle
0.0147597,0.0149293,0.0149126,0.0150277,0.537384,grmtl,path_fill_big_circle
0.0142399,0.0143505,0.0143456,0.0145991,0.752959,grmtl,path_stroke_small_circle
0.0141482,0.0142336,0.0142449,0.0144202,0.556681,grmtl,path_fill_small_circle
0.0230008,0.0233035,0.0232878,0.0235268,0.673412,grmtl,path_stroke_big_oval
0.01441,0.0144959,0.0144981,0.0146298,0.491813,grmtl,path_fill_big_oval
0.0228038,0.0230183,0.0231418,0.0237112,1.5528,grmtl,path_stroke_small_oval
0.0141504,0.0142262,0.0142368,0.0144037,0.628046,grmtl,path_fill_small_oval
0.0159665,0.0161138,0.0160991,0.0162948,0.65762,grmtl,path_fill_big_rotated_rect_aa_45
0.0157564,0.015909,0.0159391,0.0162719,1.07773,grmtl,path_fill_small_rotated_rect_aa_45
0.0158551,0.0159196,0.0159346,0.0160641,0.443742,grmtl,path_fill_big_rotated_rect_noaa_45
0.0157023,0.015893,0.015887,0.0161364,0.819179,grmtl,path_fill_small_rotated_rect_noaa_45
0.013892,0.0140327,0.0140292,0.014154,0.520165,grmtl,path_stroke_big_rect
0.0123814,0.0124461,0.0124531,0.0125726,0.462301,grmtl,path_fill_big_rect
0.0136649,0.0138031,0.0138046,0.013903,0.545825,grmtl,path_stroke_small_rect
0.0122047,0.0123186,0.0123042,0.0123834,0.398816,grmtl,path_fill_small_rect
0.0151343,0.0153557,0.0153019,0.0154844,0.822901,grmtl,path_stroke_big_triangle
0.0148485,0.0151266,0.015075,0.015449,1.20128,grmtl,path_fill_big_triangle
0.0149485,0.0151839,0.0151381,0.0153235,0.824697,grmtl,path_stroke_small_triangle
0.0147547,0.0148916,0.0148889,0.0151492,0.741702,grmtl,path_fill_small_triangle
0.0943113,0.094577,0.0945964,0.09518,0.274247,grmtl,conic-tinyerror
13.2736,13.3115,13.3128,13.3986,0.276184,grmtl,patch_loop_colors_texs_3.000000x3.000000
8.0335,8.09417,8.07774,8.125,0.362927,grmtl,patch_loop_texs_3.000000x3.000000
11.4455,11.5077,11.5144,11.5835,0.394328,grmtl,patch_loop_colors_3.000000x3.000000
6.248,6.56567,6.56556,7.09087,4.49771,grmtl,patch_loop_meshlines_3.000000x3.000000
9.43963,9.53492,9.51683,9.55475,0.402197,grmtl,patch_loop_colors_texs_1.000000x1.000000
5.61817,5.64871,5.65979,5.72329,0.558647,grmtl,patch_loop_texs_1.000000x1.000000
8.00925,8.05421,8.04696,8.09158,0.341837,grmtl,patch_loop_colors_1.000000x1.000000
4.34342,4.35946,4.36101,4.38594,0.256954,grmtl,patch_loop_meshlines_1.000000x1.000000
0.157624,0.159111,0.158946,0.159945,0.507401,grmtl,patch_loop_colors_texs_0.100000x0.100000
